Customer Name,Email,Photo Type,Purchase Date,Month,Price USD,Country,Payment Method,Referral Source,Customer Segment,Shoot Day,Shoot Time
Steven Ramos,christopherboone@example.com,Product,2024-04-15,2024-04,784.59,Canada,Cash,Direct Visit,Returning Customer,Tuesday,14:00
Amber Glass,zunderwood@example.com,Real Estate,2024-05-22,2024-05,440.53,Canada,PayPal,Google Search,New Customer,Monday,11:00
Carrie Lewis,joshuagriffin@example.org,Product,2024-04-18,2024-04,269.59,United States,Bank Transfer,Email Campaign,Business Client,Friday,14:00
Danielle Phillips,eandrade@example.org,Event,2024-04-20,2024-04,407.5,United States,PayPal,Referral,Occasional Buyer,Friday,19:00
Jason Day,crystalpham@example.org,Portrait,2024-05-10,2024-05,345.75,Canada,PayPal,Email Campaign,Business Client,Wednesday,13:00
Heather Stephens,kcooper@example.net,Wedding,2025-04-05,2025-04,2829.62,Canada,Cash,Facebook,Returning Customer,Friday,11:00
Alexander Harper,huangkimberly@example.org,Wedding,2024-08-03,2024-08,2962.58,Canada,Apple Pay,Facebook,New Customer,Saturday,19:00
Hunter Silva,terrigarcia@example.net,Product,2025-01-28,2025-01,300.13,United States,Apple Pay,Email Campaign,Business Client,Tuesday,12:00
Raven Mclaughlin,barbaramcgrath@example.com,Wedding,2024-07-05,2024-07,2263.24,United States,Credit Card,Referral,New Customer,Saturday,11:00
Sarah Thompson,linda59@example.org,Product,2024-08-15,2024-08,307.38,Canada,PayPal,Facebook,New Customer,Monday,14:00
Keith Thomas,marycochran@example.com,Product,2024-12-21,2024-12,391.96,Canada,Credit Card,Direct Visit,Returning Customer,Monday,14:00
Andrew Brown,andrewwoods@example.com,Wedding,2024-10-23,2024-10,1834.78,Canada,Credit Card,Referral,Business Client,Saturday,11:00
Carlos Love,brian29@example.net,Real Estate,2025-03-09,2025-03,255.35,Canada,Credit Card,Facebook,New Customer,Monday,13:30
Sarah Valencia,brookssheri@example.com,Portrait,2025-03-09,2025-03,225.98,Canada,Bank Transfer,Direct Visit,Occasional Buyer,Friday,13:00
Frank Daugherty,fconner@example.net,Stock Photo License,2024-11-08,2024-11,63.79,United States,Credit Card,Referral,New Customer,Friday,11:00
Kristina Preston,jeffrey92@example.com,Portrait,2024-08-02,2024-08,308.99,United States,Cash,Email Campaign,Business Client,Monday,16:30
Bethany Daniel,xrosales@example.net,Wedding,2024-07-29,2024-07,2294.72,United States,PayPal,Email Campaign,New Customer,Saturday,19:00
Tammy Ponce,daniellegarcia@example.com,Wedding,2024-04-19,2024-04,1847.21,Canada,Cash,Email Campaign,New Customer,Friday,19:00
Cynthia Haas,daisymccarty@example.net,Wedding,2024-05-29,2024-05,1700.27,United States,Cash,Email Campaign,Occasional Buyer,Friday,11:00
Gabriela Smith,johnjones@example.com,Wedding,2024-12-09,2024-12,1891.49,Canada,Bank Transfer,Referral,New Customer,Saturday,19:00
Amber Kim,acosta@example.com,Wedding,2025-01-21,2025-01,1804.07,United States,Credit Card,Instagram,New Customer,Friday,11:00
James Poole,franciscojones@example.org,Wedding,2025-02-24,2025-02,1681.11,Canada,Bank Transfer,Referral,New Customer,Saturday,14:00
Trevor Jones,pamelamartin@example.org,Wedding,2024-07-24,2024-07,1736.42,United States,Bank Transfer,Instagram,New Customer,Saturday,11:00
Anna Wheeler,bbush@example.net,Wedding,2024-10-25,2024-10,2033.61,Canada,PayPal,Google Search,Occasional Buyer,Saturday,17:00
Brooke Garcia,terriortiz@example.net,Product,2024-06-07,2024-06,533.57,United States,Cash,Google Search,Business Client,Friday,10:00
Deborah Campbell,codylong@example.net,Wedding,2024-12-28,2024-12,1517.94,United States,PayPal,Referral,New Customer,Friday,14:00
Isaac Patterson,madison97@example.org,Event,2025-02-09,2025-02,880.22,United States,Credit Card,Instagram,Occasional Buyer,Saturday,12:00
Mark Rowland,tanthony@example.com,Portrait,2024-05-13,2024-05,182.2,United States,Cash,Google Search,New Customer,Wednesday,10:00
Deborah May,ylopez@example.com,Portrait,2024-09-27,2024-09,355.42,United States,Cash,Email Campaign,New Customer,Thursday,18:30
Jeremiah Baker,anne21@example.org,Portrait,2024-06-15,2024-06,377.08,Canada,PayPal,Google Search,Returning Customer,Wednesday,16:30
Jennifer Avila,angelarandall@example.net,Event,2024-12-08,2024-12,882.55,Canada,Credit Card,Google Search,New Customer,Sunday,15:00
Sharon Wells,thomasmiller@example.net,Wedding,2024-09-08,2024-09,1799.19,United States,Cash,Email Campaign,New Customer,Friday,14:00
Kellie Duncan,davidtodd@example.org,Portrait,2024-04-20,2024-04,271.17,Canada,Bank Transfer,Instagram,New Customer,Friday,16:30
Daniel Lee,hendersonvanessa@example.com,Portrait,2025-03-21,2025-03,157.33,Canada,Apple Pay,Facebook,Business Client,Wednesday,10:00
Brittany Larson,renee11@example.com,Stock Photo License,2024-06-20,2024-06,73.7,United States,Bank Transfer,Direct Visit,Business Client,Monday,11:00
Shannon Stone,buchanancindy@example.net,Product,2024-10-28,2024-10,233.55,Canada,Bank Transfer,Instagram,New Customer,Tuesday,14:00
Chase Knight,buckleyanna@example.org,Portrait,2025-01-19,2025-01,351.55,Canada,Apple Pay,Direct Visit,New Customer,Wednesday,10:00
Sheryl Humphrey,patrick79@example.net,Product,2025-01-20,2025-01,702.02,Canada,PayPal,Referral,New Customer,Thursday,14:00
Jamie Montgomery,vwilliams@example.net,Wedding,2024-09-28,2024-09,2402.49,United States,Bank Transfer,Direct Visit,New Customer,Saturday,19:00
Tammie Prince,morganlaura@example.com,Wedding,2024-07-03,2024-07,2575.41,United States,Credit Card,Instagram,Returning Customer,Sunday,17:00
Michael Garcia PhD,kevinmanning@example.com,Product,2024-07-19,2024-07,664.62,United States,Bank Transfer,Email Campaign,Occasional Buyer,Friday,12:00
Matthew Lopez,robinrussell@example.com,Portrait,2024-07-15,2024-07,175.26,United States,PayPal,Email Campaign,Occasional Buyer,Wednesday,16:30
Samantha Robertson,cameronmckinney@example.com,Real Estate,2025-01-10,2025-01,580.33,Canada,PayPal,Email Campaign,Returning Customer,Wednesday,09:30
Sherry Johnson,nancygonzalez@example.org,Wedding,2024-05-27,2024-05,1960.23,United States,Credit Card,Email Campaign,Occasional Buyer,Saturday,14:00
Thomas Bush,micheal78@example.com,Portrait,2024-07-08,2024-07,398.57,United States,Apple Pay,Facebook,Occasional Buyer,Friday,10:00
Andre Watson,ethompson@example.net,Stock Photo License,2024-11-26,2024-11,36.04,Canada,PayPal,Facebook,Business Client,Friday,11:00
Ryan Green,mitchellpaul@example.org,Wedding,2024-10-26,2024-10,2973.57,Canada,Cash,Google Search,New Customer,Saturday,11:00
Cindy Walker,ericaadams@example.com,Wedding,2025-02-14,2025-02,1601.69,United States,Credit Card,Referral,New Customer,Saturday,11:00
Tracy Fleming,pbuck@example.org,Portrait,2024-10-12,2024-10,191.58,Canada,Bank Transfer,Direct Visit,New Customer,Thursday,18:30
David Trujillo,jennifer46@example.com,Real Estate,2024-11-14,2024-11,494.36,United States,PayPal,Referral,New Customer,Friday,13:30
Daniel Turner,asilva@example.net,Real Estate,2025-02-13,2025-02,247.45,United States,Credit Card,Facebook,New Customer,Wednesday,11:00
Sara Hoffman,kenneth17@example.org,Portrait,2025-04-08,2025-04,333.0,Canada,Apple Pay,Direct Visit,Business Client,Friday,10:00
Frederick Hill,jacob83@example.org,Event,2024-08-09,2024-08,688.19,Canada,PayPal,Google Search,New Customer,Friday,19:00
Lindsay Guerrero,jenniferrios@example.com,Wedding,2025-01-27,2025-01,1784.98,Canada,Bank Transfer,Instagram,New Customer,Saturday,17:00
James Johnson,matthewreeves@example.net,Portrait,2024-07-11,2024-07,287.42,United States,Bank Transfer,Google Search,New Customer,Thursday,13:00
Susan Powers,megan82@example.com,Wedding,2024-10-20,2024-10,2493.03,United States,Credit Card,Instagram,New Customer,Saturday,14:00
David Stokes,staceylam@example.net,Wedding,2024-05-13,2024-05,1622.9,Canada,Cash,Referral,Business Client,Friday,17:00
Patrick Parker,nathan94@example.com,Wedding,2024-05-10,2024-05,2462.8,Canada,Bank Transfer,Instagram,New Customer,Saturday,17:00
Sean Silva,kennedyjames@example.org,Wedding,2025-02-13,2025-02,2197.59,United States,PayPal,Email Campaign,Returning Customer,Saturday,17:00
Edwin Brown,derrickgonzalez@example.com,Wedding,2025-02-19,2025-02,2015.69,United States,Cash,Direct Visit,New Customer,Saturday,14:00
Victoria Thomas,kimberlyfreeman@example.net,Portrait,2025-04-04,2025-04,366.72,Canada,Bank Transfer,Google Search,New Customer,Thursday,13:00
Anthony Hayes,kathleenjackson@example.org,Product,2025-04-04,2025-04,220.84,United States,Credit Card,Referral,New Customer,Friday,14:00
Anita Mendez,epowell@example.com,Stock Photo License,2024-10-04,2024-10,73.61,United States,Cash,Google Search,Occasional Buyer,Tuesday,11:00
Monica Dodson,katherine83@example.org,Portrait,2024-04-09,2024-04,399.32,Canada,Credit Card,Google Search,New Customer,Tuesday,16:30
Danielle Steele,larry16@example.net,Portrait,2024-12-11,2024-12,231.53,United States,Apple Pay,Direct Visit,Returning Customer,Wednesday,18:30
Rodney Evans,stephen89@example.net,Portrait,2024-11-09,2024-11,253.61,United States,Apple Pay,Google Search,Business Client,Tuesday,10:00
Whitney Cooper,mhoward@example.org,Product,2024-08-09,2024-08,728.08,Canada,Cash,Direct Visit,Returning Customer,Thursday,12:00
Jennifer Perez,jasonjohnson@example.net,Wedding,2025-03-20,2025-03,1913.12,United States,Cash,Facebook,Returning Customer,Saturday,19:00
Matthew Johnson,kelsey90@example.net,Wedding,2024-06-08,2024-06,2212.83,United States,Bank Transfer,Facebook,New Customer,Saturday,17:00
Martha Smith,butleromar@example.net,Real Estate,2025-04-07,2025-04,529.12,United States,Bank Transfer,Email Campaign,New Customer,Monday,09:30
Christine Jennings,turnerdorothy@example.net,Real Estate,2024-07-09,2024-07,234.71,United States,PayPal,Referral,New Customer,Thursday,13:30
Mercedes Barnes,huntchristine@example.com,Real Estate,2024-10-15,2024-10,470.47,United States,Apple Pay,Instagram,New Customer,Friday,11:00
Craig Gonzalez,marie35@example.net,Event,2024-05-19,2024-05,663.05,United States,PayPal,Google Search,New Customer,Thursday,12:00
Joshua Lozano,arivera@example.org,Portrait,2024-09-04,2024-09,379.51,Canada,Cash,Direct Visit,New Customer,Tuesday,16:30
Sara Caldwell,stacychan@example.org,Product,2024-12-09,2024-12,608.7,Canada,Apple Pay,Referral,New Customer,Tuesday,12:00
David Hall,joseph01@example.org,Product,2024-12-28,2024-12,552.13,United States,Bank Transfer,Email Campaign,Business Client,Wednesday,12:00
Heather Rhodes,grodgers@example.org,Wedding,2025-02-21,2025-02,1541.18,United States,PayPal,Email Campaign,New Customer,Saturday,14:00
Matthew Murphy,rfriedman@example.net,Event,2024-04-11,2024-04,761.95,United States,PayPal,Direct Visit,Business Client,Thursday,15:00
Catherine Morales,ynelson@example.net,Wedding,2024-05-12,2024-05,2412.52,Canada,Cash,Facebook,New Customer,Sunday,17:00
Mariah Robles,andersonjessica@example.org,Wedding,2025-02-13,2025-02,1953.22,United States,Credit Card,Direct Visit,Occasional Buyer,Saturday,19:00
Karen Carroll,ywhite@example.com,Stock Photo License,2024-05-15,2024-05,66.97,Canada,Bank Transfer,Email Campaign,New Customer,Friday,17:00
Sheryl Acosta,timothyfreeman@example.com,Wedding,2024-11-17,2024-11,2982.54,Canada,Bank Transfer,Instagram,New Customer,Saturday,17:00
Matthew Smith,tiffanysantiago@example.com,Real Estate,2024-09-16,2024-09,549.84,Canada,PayPal,Email Campaign,New Customer,Friday,11:00
Lisa Reynolds,timothyalvarado@example.net,Portrait,2024-10-14,2024-10,223.9,Canada,Credit Card,Direct Visit,Business Client,Thursday,18:30
Kristin Huerta,smithsarah@example.net,Portrait,2024-08-26,2024-08,197.48,Canada,Apple Pay,Facebook,Business Client,Tuesday,18:30
Sheila Jones,vflores@example.com,Real Estate,2025-02-12,2025-02,538.25,United States,Cash,Instagram,Business Client,Tuesday,11:00
Mason Powell,christianwallace@example.net,Event,2024-04-26,2024-04,803.13,Canada,Credit Card,Instagram,New Customer,Friday,19:00
Jillian Wilson,bmcgee@example.org,Event,2024-09-19,2024-09,576.38,Canada,Apple Pay,Facebook,New Customer,Saturday,15:00
Joshua Petersen,pamela83@example.net,Wedding,2024-09-02,2024-09,1580.52,Canada,PayPal,Direct Visit,New Customer,Saturday,11:00
Heidi Brown,meganrivera@example.net,Event,2024-12-09,2024-12,776.85,United States,PayPal,Instagram,New Customer,Sunday,12:00
Heidi Chavez,malonejeffrey@example.com,Stock Photo License,2024-11-13,2024-11,69.64,Canada,PayPal,Google Search,New Customer,Thursday,11:00
Rebecca Kelley,jacqueline02@example.com,Event,2024-08-15,2024-08,459.14,Canada,Bank Transfer,Instagram,Business Client,Thursday,12:00
Mikayla Rodriguez,jacobconrad@example.com,Wedding,2024-05-29,2024-05,2646.73,United States,Apple Pay,Referral,Returning Customer,Saturday,11:00
Cheryl Morgan,owilliams@example.net,Portrait,2024-06-25,2024-06,391.33,United States,Apple Pay,Instagram,Business Client,Thursday,10:00
Joanna Barrett,tamarasmith@example.net,Stock Photo License,2024-11-09,2024-11,69.6,United States,Credit Card,Email Campaign,Business Client,Friday,11:00
Sara Webb,heatherthompson@example.org,Wedding,2024-04-25,2024-04,2815.48,Canada,Apple Pay,Direct Visit,New Customer,Saturday,11:00
Lisa Morris,mbarnes@example.net,Wedding,2024-05-15,2024-05,1568.58,Canada,Cash,Email Campaign,Occasional Buyer,Sunday,19:00
Victor Waller,iballard@example.com,Wedding,2025-01-12,2025-01,2852.08,United States,Cash,Google Search,New Customer,Saturday,14:00
Kayla Cameron,jennifer83@example.org,Event,2024-11-14,2024-11,418.09,United States,Credit Card,Facebook,Business Client,Thursday,19:00
Melissa Morse,tinasantos@example.org,Real Estate,2024-06-23,2024-06,287.6,United States,Apple Pay,Google Search,Returning Customer,Wednesday,13:30
Erica Wilson,anna99@example.net,Event,2024-10-09,2024-10,317.77,Canada,Cash,Google Search,Returning Customer,Thursday,15:00
Stephanie Ferguson,hstokes@example.org,Portrait,2024-12-23,2024-12,188.28,Canada,Credit Card,Email Campaign,Returning Customer,Monday,16:30
Michael Gonzalez,tonyavega@example.org,Event,2024-04-17,2024-04,930.65,United States,Bank Transfer,Google Search,Business Client,Sunday,12:00
Elizabeth Molina,howardshaun@example.net,Portrait,2025-02-09,2025-02,302.25,Canada,Cash,Facebook,New Customer,Wednesday,13:00
Sharon Newton,yyoung@example.net,Portrait,2025-02-19,2025-02,377.59,United States,Credit Card,Google Search,Returning Customer,Thursday,16:30
Tammy Hughes,tammy00@example.net,Product,2024-07-22,2024-07,701.14,United States,Apple Pay,Google Search,Business Client,Thursday,10:00
Priscilla Berg,rhondabush@example.net,Wedding,2024-07-08,2024-07,1883.84,Canada,Cash,Google Search,New Customer,Saturday,17:00
Nancy Gonzalez,kellythompson@example.net,Wedding,2024-08-20,2024-08,1559.17,Canada,Credit Card,Google Search,Business Client,Saturday,17:00
Nancy Wilson,pattersonangela@example.org,Product,2024-05-05,2024-05,205.8,United States,Bank Transfer,Facebook,Business Client,Tuesday,14:00
Abigail Owens,billmcfarland@example.net,Stock Photo License,2024-06-05,2024-06,38.42,Canada,PayPal,Google Search,New Customer,Monday,15:00
Lisa Stanley,jtyler@example.com,Stock Photo License,2024-04-26,2024-04,38.59,Canada,Cash,Email Campaign,Business Client,Thursday,17:00
Kelly Krueger,hartmanerik@example.net,Wedding,2024-05-04,2024-05,1698.77,United States,Cash,Direct Visit,New Customer,Friday,14:00
Daniel Lewis,mark43@example.net,Portrait,2024-10-21,2024-10,259.54,Canada,Apple Pay,Google Search,Business Client,Friday,18:30
Samantha Zavala MD,sean99@example.org,Product,2024-10-19,2024-10,636.37,Canada,Credit Card,Referral,New Customer,Tuesday,12:00
Erica Moon,cruzamber@example.com,Wedding,2025-03-24,2025-03,2482.46,Canada,Apple Pay,Direct Visit,Returning Customer,Saturday,14:00
Patricia Robertson,stucker@example.net,Event,2024-04-17,2024-04,689.56,Canada,Cash,Instagram,Business Client,Friday,15:00
Tiffany Jackson,simsjason@example.net,Portrait,2024-06-17,2024-06,396.95,United States,Apple Pay,Referral,Business Client,Monday,10:00
Jessica Garcia,elucas@example.net,Product,2025-01-16,2025-01,244.92,United States,Bank Transfer,Facebook,New Customer,Thursday,12:00
Mitchell Johnson,brownlaura@example.net,Wedding,2024-12-15,2024-12,2464.98,United States,Cash,Referral,Business Client,Saturday,14:00
Susan Russell,bmccoy@example.com,Portrait,2024-05-03,2024-05,364.15,United States,Cash,Email Campaign,Returning Customer,Thursday,16:30
Kimberly May,avilabrenda@example.net,Wedding,2024-04-14,2024-04,2118.51,United States,Apple Pay,Direct Visit,Returning Customer,Saturday,11:00
Jonathan Roberts,catherine47@example.com,Product,2025-02-12,2025-02,537.4,Canada,Credit Card,Instagram,Business Client,Thursday,12:00
Kara Ferguson,julierobles@example.net,Wedding,2024-08-30,2024-08,2651.12,Canada,Credit Card,Google Search,Business Client,Saturday,17:00
Elizabeth Eaton,susan08@example.net,Wedding,2024-07-24,2024-07,2012.04,Canada,Credit Card,Google Search,Business Client,Friday,17:00
Kenneth Long,torreskaitlin@example.net,Portrait,2024-05-29,2024-05,355.46,Canada,Apple Pay,Instagram,New Customer,Thursday,10:00
Matthew Hunt,jackjensen@example.com,Product,2024-08-11,2024-08,435.74,Canada,Credit Card,Referral,New Customer,Thursday,10:00
Robert Phelps,enewman@example.com,Event,2024-06-18,2024-06,904.93,Canada,Apple Pay,Direct Visit,New Customer,Thursday,15:00
Craig Carpenter,michael31@example.com,Portrait,2024-12-09,2024-12,282.59,Canada,Apple Pay,Instagram,Returning Customer,Monday,18:30
Emily Hayes,heather29@example.net,Wedding,2024-11-20,2024-11,2722.87,Canada,Cash,Direct Visit,Occasional Buyer,Saturday,17:00
Jeffrey Smith,kristenjoseph@example.net,Real Estate,2024-08-19,2024-08,236.8,Canada,PayPal,Instagram,New Customer,Wednesday,11:00
Brandy Quinn,wford@example.com,Event,2024-09-14,2024-09,973.58,Canada,Apple Pay,Email Campaign,New Customer,Saturday,19:00
Matthew Miller,michele28@example.org,Wedding,2024-10-03,2024-10,2571.58,United States,Apple Pay,Direct Visit,Returning Customer,Saturday,14:00
Angela Jones,atkinsoncrystal@example.net,Wedding,2024-07-13,2024-07,1673.11,Canada,Apple Pay,Facebook,Business Client,Saturday,19:00
Christy Johnson,amy87@example.net,Portrait,2024-11-05,2024-11,153.19,Canada,PayPal,Google Search,Returning Customer,Monday,10:00
Daniel Barton,dennis88@example.org,Wedding,2025-01-16,2025-01,2625.28,Canada,PayPal,Google Search,Returning Customer,Saturday,17:00
Mary Charles,katherinetaylor@example.org,Wedding,2024-08-31,2024-08,2630.39,United States,Apple Pay,Email Campaign,Business Client,Saturday,19:00
Mary Faulkner,ccrosby@example.org,Product,2024-06-12,2024-06,645.45,United States,Apple Pay,Email Campaign,New Customer,Friday,12:00
Dennis Young,aprilmoody@example.com,Event,2025-01-11,2025-01,1133.84,Canada,Apple Pay,Google Search,New Customer,Sunday,15:00
Anthony Hooper,dakota84@example.net,Wedding,2024-09-26,2024-09,2430.84,United States,Bank Transfer,Direct Visit,Returning Customer,Friday,19:00
Carrie Valdez,briana18@example.com,Event,2024-07-13,2024-07,998.53,Canada,PayPal,Email Campaign,New Customer,Friday,15:00
Kelli Gomez,tommy79@example.org,Stock Photo License,2024-08-23,2024-08,61.75,United States,Cash,Facebook,Returning Customer,Monday,15:00
Christopher Jones,jason22@example.com,Wedding,2024-10-08,2024-10,2375.98,Canada,PayPal,Google Search,New Customer,Saturday,17:00
Mary Perry,jennifer77@example.com,Wedding,2024-11-14,2024-11,1576.28,Canada,Apple Pay,Direct Visit,New Customer,Sunday,17:00
Roy Johnson,andersonbrittany@example.org,Real Estate,2024-06-24,2024-06,258.93,United States,Apple Pay,Instagram,New Customer,Tuesday,09:30
Kenneth Brown,sandra86@example.net,Portrait,2024-11-24,2024-11,172.99,Canada,Bank Transfer,Facebook,New Customer,Tuesday,13:00
Sherry Luna,stacey37@example.net,Stock Photo License,2025-03-28,2025-03,55.91,United States,Credit Card,Email Campaign,New Customer,Thursday,17:00
Carolyn Greer,laurahoover@example.org,Wedding,2025-04-06,2025-04,2463.4,United States,Bank Transfer,Referral,Occasional Buyer,Sunday,14:00
Carol Jennings,ecarlson@example.org,Product,2024-11-22,2024-11,431.53,Canada,Credit Card,Direct Visit,Business Client,Friday,14:00
Alan Mills,mserrano@example.org,Portrait,2024-08-24,2024-08,350.7,United States,Bank Transfer,Email Campaign,New Customer,Thursday,18:30
Linda Rich,davisdonna@example.net,Portrait,2024-06-11,2024-06,387.05,United States,PayPal,Email Campaign,Returning Customer,Tuesday,10:00
Todd Gregory,xboyd@example.org,Wedding,2024-10-22,2024-10,2528.11,Canada,Credit Card,Email Campaign,Returning Customer,Friday,14:00
Todd Olson,zbell@example.net,Wedding,2024-12-19,2024-12,2575.3,United States,PayPal,Facebook,Returning Customer,Saturday,11:00
Laura Coleman,thomas31@example.com,Portrait,2025-03-06,2025-03,206.91,Canada,Cash,Email Campaign,New Customer,Wednesday,18:30
Deanna Smith,lanedavid@example.org,Wedding,2024-11-12,2024-11,2084.25,United States,Apple Pay,Google Search,Business Client,Saturday,11:00
Robert Ortiz,mooredenise@example.com,Wedding,2024-08-23,2024-08,2892.07,United States,Bank Transfer,Referral,New Customer,Saturday,17:00
Krystal Carr,afischer@example.net,Real Estate,2024-07-12,2024-07,115.41,United States,PayPal,Email Campaign,New Customer,Tuesday,13:30
Mr. Justin King,becky62@example.net,Real Estate,2025-01-19,2025-01,372.86,Canada,Credit Card,Direct Visit,Business Client,Tuesday,11:00
Richard Avery,lewisrichard@example.com,Wedding,2024-05-21,2024-05,1562.66,United States,Bank Transfer,Instagram,Business Client,Saturday,19:00
Melinda Williams,aoconnell@example.org,Product,2025-01-26,2025-01,406.31,United States,PayPal,Instagram,New Customer,Thursday,14:00
Kyle Davis,jeffrey19@example.org,Real Estate,2025-02-03,2025-02,197.16,United States,Apple Pay,Referral,Returning Customer,Tuesday,13:30
Jennifer Douglas,jennifer90@example.org,Wedding,2024-12-29,2024-12,2507.53,Canada,Bank Transfer,Facebook,New Customer,Saturday,14:00
Dakota Sandoval,james98@example.net,Event,2024-11-28,2024-11,390.04,Canada,Cash,Referral,New Customer,Thursday,12:00
Megan Ward,cantrellchristopher@example.com,Event,2024-12-19,2024-12,924.11,Canada,Bank Transfer,Referral,New Customer,Friday,19:00
James Willis,mclaughlincasey@example.org,Wedding,2025-01-18,2025-01,2678.49,Canada,Bank Transfer,Instagram,Returning Customer,Friday,19:00
Kristin Aguilar,sylvia43@example.net,Wedding,2024-10-26,2024-10,2219.93,Canada,Apple Pay,Google Search,New Customer,Saturday,17:00
Jared Smith,richardrodriguez@example.org,Event,2025-03-26,2025-03,1057.61,United States,Bank Transfer,Email Campaign,Business Client,Friday,19:00
Bruce Palmer,nancy94@example.net,Wedding,2024-10-09,2024-10,1613.1,Canada,Apple Pay,Instagram,Occasional Buyer,Saturday,11:00
John Sanchez,susan77@example.net,Portrait,2024-09-17,2024-09,285.87,United States,Bank Transfer,Referral,New Customer,Friday,18:30
Mr. James Kramer,ericahall@example.com,Real Estate,2025-02-17,2025-02,466.61,Canada,Apple Pay,Direct Visit,New Customer,Wednesday,09:30
Joseph Haynes,john16@example.net,Portrait,2024-09-05,2024-09,152.65,United States,Cash,Instagram,New Customer,Tuesday,13:00
Justin White,michael94@example.org,Product,2025-01-07,2025-01,595.65,Canada,Bank Transfer,Google Search,New Customer,Tuesday,14:00
Susan Porter,jimmyallen@example.com,Portrait,2025-03-20,2025-03,165.72,United States,PayPal,Direct Visit,Occasional Buyer,Wednesday,13:00
David Montgomery,kimberlywilson@example.org,Portrait,2024-06-22,2024-06,267.42,United States,Bank Transfer,Google Search,Business Client,Thursday,10:00
Lisa Duran,charlesnathan@example.com,Portrait,2024-12-11,2024-12,357.41,Canada,Cash,Facebook,Returning Customer,Wednesday,13:00
Dr. Sheila Henry,raymond92@example.org,Product,2024-10-05,2024-10,246.7,United States,Apple Pay,Referral,New Customer,Wednesday,12:00
Todd Johnson,phillip27@example.org,Product,2024-10-17,2024-10,492.12,United States,Apple Pay,Instagram,New Customer,Thursday,14:00
Michael Smith,nicolasgarcia@example.com,Wedding,2024-12-19,2024-12,2271.81,United States,PayPal,Facebook,Returning Customer,Saturday,14:00
Joshua Young,vmullen@example.com,Real Estate,2024-11-18,2024-11,430.55,United States,Cash,Email Campaign,New Customer,Thursday,11:00
Jason Goodwin,melissa47@example.org,Wedding,2024-06-14,2024-06,1741.87,United States,Credit Card,Instagram,Returning Customer,Friday,11:00
Melissa Olsen,linda86@example.com,Wedding,2024-11-03,2024-11,2444.31,United States,PayPal,Facebook,Occasional Buyer,Saturday,14:00
Nancy Kennedy,thompsonvictor@example.net,Portrait,2024-06-18,2024-06,251.36,Canada,Credit Card,Instagram,New Customer,Friday,10:00
Rachel Evans,rosshannah@example.org,Stock Photo License,2024-10-14,2024-10,68.37,Canada,Apple Pay,Instagram,Business Client,Tuesday,11:00
Ryan Davis,jordan58@example.net,Real Estate,2024-06-25,2024-06,190.94,United States,Bank Transfer,Referral,Returning Customer,Friday,11:00
Alejandro Martinez,barbarasantos@example.net,Wedding,2025-03-15,2025-03,2067.32,United States,Apple Pay,Direct Visit,Returning Customer,Saturday,11:00
Heather Nunez,champton@example.org,Real Estate,2024-06-10,2024-06,402.76,United States,Apple Pay,Direct Visit,Business Client,Tuesday,11:00
Mark Thomas,daniellemcfarland@example.com,Wedding,2024-08-25,2024-08,2489.09,Canada,Apple Pay,Referral,New Customer,Sunday,11:00
Sarah Jones,matthewedwards@example.net,Wedding,2024-11-25,2024-11,2294.72,Canada,Bank Transfer,Direct Visit,Business Client,Saturday,19:00
Matthew Nelson,xnorman@example.net,Product,2024-07-23,2024-07,702.31,Canada,PayPal,Facebook,New Customer,Friday,10:00
Jennifer White,martinezjimmy@example.com,Wedding,2024-11-08,2024-11,2788.58,Canada,PayPal,Google Search,Business Client,Saturday,19:00
Angela Jackson,davissharon@example.com,Real Estate,2025-03-18,2025-03,388.99,United States,Cash,Email Campaign,New Customer,Monday,13:30
James Hubbard,garciachristine@example.org,Real Estate,2024-10-25,2024-10,304.42,Canada,Apple Pay,Facebook,New Customer,Monday,09:30
Ellen Wright,scott22@example.net,Portrait,2024-12-03,2024-12,291.17,Canada,PayPal,Referral,Returning Customer,Friday,16:30
Matthew Dalton,michelle78@example.com,Portrait,2025-02-08,2025-02,194.68,Canada,Bank Transfer,Direct Visit,New Customer,Friday,18:30
Travis Ryan,owelch@example.net,Event,2024-10-25,2024-10,962.2,United States,Cash,Email Campaign,Occasional Buyer,Thursday,19:00
Kimberly Stout,zfernandez@example.org,Wedding,2024-09-14,2024-09,2262.52,United States,Cash,Email Campaign,New Customer,Friday,11:00
David Torres,millskatherine@example.org,Wedding,2024-09-16,2024-09,1717.99,United States,Credit Card,Facebook,New Customer,Sunday,19:00
Adam Weeks,xevans@example.com,Wedding,2024-08-11,2024-08,1556.63,Canada,Apple Pay,Google Search,Occasional Buyer,Saturday,19:00
Rebecca Kelley,robertcastro@example.com,Real Estate,2025-01-25,2025-01,420.15,United States,Apple Pay,Facebook,New Customer,Thursday,09:30
Maria Clayton,josehenderson@example.org,Real Estate,2024-07-08,2024-07,355.27,United States,Credit Card,Facebook,New Customer,Tuesday,13:30
Lisa Benson,justin84@example.com,Wedding,2024-10-14,2024-10,1736.17,Canada,Cash,Referral,Returning Customer,Sunday,19:00
Chad Rodriguez,rwilliamson@example.net,Portrait,2024-06-15,2024-06,334.23,Canada,Apple Pay,Direct Visit,New Customer,Monday,10:00
