Customer Name,Email,Photo Type,Purchase Date,Month,City,Region,Country,Price USD,Payment Method,Referral Source,Customer Segment,Shoot Day,Shoot Time
Robert Ortiz,mooredenise@example.com,Wedding,2024-08-23,2024-08,Seattle,Washington,United States,2859.91,Bank Transfer,Google Search,Business Client,Saturday,11:00
Krystal Carr,afischer@example.net,Wedding,2024-07-12,2024-07,Kansas City,Missouri,United States,2421.97,Cash,Facebook,Returning Customer,Saturday,14:00
Mr. Justin King,becky62@example.net,Portrait,2025-01-19,2025-01,Halifax,Nova Scotia,Canada,207.7,Apple Pay,Email Campaign,Returning Customer,Monday,18:30
Richard Avery,lewisrichard@example.com,Product,2024-05-21,2024-05,Chicago,Illinois,United States,755.74,Cash,Referral,Returning Customer,Wednesday,14:00
Melinda Williams,aoconnell@example.org,Wedding,2025-01-26,2025-01,Little Rock,Arkansas,United States,1852.65,Cash,Google Search,New Customer,Saturday,11:00
Kyle Davis,jeffrey19@example.org,Wedding,2025-02-03,2025-02,Boston,Massachusetts,United States,3480.16,Cash,Facebook,Returning Customer,Saturday,14:00
Jennifer Douglas,jennifer90@example.org,Wedding,2024-12-29,2024-12,Boise,Idaho,United States,1785.17,Apple Pay,Google Search,Business Client,Saturday,14:00
Dakota Sandoval,james98@example.net,Portrait,2024-11-28,2024-11,Springfield,Illinois,United States,397.65,Apple Pay,Direct Visit,New Customer,Friday,18:30
Megan Ward,cantrellchristopher@example.com,Wedding,2024-12-19,2024-12,New York City,New York,United States,2186.02,Bank Transfer,Email Campaign,Business Client,Friday,14:00
James Willis,mclaughlincasey@example.org,Event,2025-01-18,2025-01,Houston,Texas,United States,397.16,Cash,Google Search,New Customer,Friday,15:00
Kristin Aguilar,sylvia43@example.net,Portrait,2024-10-26,2024-10,Ottawa,Ontario,Canada,333.31,Credit Card,Instagram,New Customer,Thursday,16:30
Jared Smith,richardrodriguez@example.org,Portrait,2025-03-26,2025-03,Fredericton,New Brunswick,Canada,183.22,Cash,Facebook,Returning Customer,Friday,10:00
Bruce Palmer,nancy94@example.net,Wedding,2024-10-09,2024-10,Winnipeg,Manitoba,Canada,2279.32,Cash,Email Campaign,New Customer,Saturday,11:00
John Sanchez,susan77@example.net,Real Estate,2024-09-17,2024-09,Winnipeg,Manitoba,Canada,138.88,Apple Pay,Direct Visit,Business Client,Wednesday,13:30
Mr. James Kramer,ericahall@example.com,Product,2025-02-17,2025-02,Boise,Idaho,United States,405.48,Credit Card,Facebook,New Customer,Friday,10:00
Joseph Haynes,john16@example.net,Real Estate,2024-09-05,2024-09,Boise,Idaho,United States,441.89,Cash,Email Campaign,New Customer,Friday,09:30
Justin White,michael94@example.org,Event,2025-01-07,2025-01,Boston,Massachusetts,United States,988.31,Apple Pay,Referral,Returning Customer,Sunday,15:00
Susan Porter,jimmyallen@example.com,Portrait,2025-03-20,2025-03,Buffalo,New York,United States,258.36,Credit Card,Google Search,Returning Customer,Wednesday,10:00
David Montgomery,kimberlywilson@example.org,Real Estate,2024-06-22,2024-06,Houston,Texas,United States,490.52,Cash,Email Campaign,New Customer,Wednesday,09:30
Lisa Duran,charlesnathan@example.com,Portrait,2024-12-11,2024-12,Seattle,Washington,United States,398.46,PayPal,Referral,New Customer,Tuesday,18:30
Dr. Sheila Henry,raymond92@example.org,Portrait,2024-10-05,2024-10,Houston,Texas,United States,214.98,Cash,Referral,New Customer,Wednesday,10:00
Todd Johnson,phillip27@example.org,Real Estate,2024-10-17,2024-10,Little Rock,Arkansas,United States,211.96,PayPal,Google Search,New Customer,Friday,11:00
Michael Smith,nicolasgarcia@example.com,Real Estate,2024-12-19,2024-12,Cambridge,Massachusetts,United States,564.34,Cash,Referral,New Customer,Friday,13:30
Joshua Young,vmullen@example.com,Wedding,2024-11-18,2024-11,Cambridge,Massachusetts,United States,3276.35,Cash,Facebook,New Customer,Sunday,17:00
Jason Goodwin,melissa47@example.org,Event,2024-06-14,2024-06,Boise,Idaho,United States,853.63,PayPal,Instagram,Business Client,Saturday,15:00
Melissa Olsen,linda86@example.com,Wedding,2024-11-03,2024-11,Ottawa,Ontario,Canada,3342.67,Cash,Instagram,Business Client,Saturday,19:00
Nancy Kennedy,thompsonvictor@example.net,Event,2024-06-18,2024-06,Cambridge,Massachusetts,United States,418.52,Bank Transfer,Direct Visit,Returning Customer,Sunday,19:00
Rachel Evans,rosshannah@example.org,Event,2024-10-14,2024-10,Los Angeles,California,United States,1089.29,Credit Card,Instagram,New Customer,Friday,12:00
Ryan Davis,jordan58@example.net,Stock Photo License,2024-06-25,2024-06,Spokane,Washington,United States,58.7,Cash,Instagram,Business Client,Thursday,15:00
Alejandro Martinez,barbarasantos@example.net,Wedding,2025-03-15,2025-03,Boston,Massachusetts,United States,2118.38,Credit Card,Facebook,Occasional Buyer,Friday,11:00
Heather Nunez,champton@example.org,Portrait,2024-06-10,2024-06,Fredericton,New Brunswick,Canada,237.38,Credit Card,Direct Visit,New Customer,Thursday,10:00
Mark Thomas,daniellemcfarland@example.com,Portrait,2024-08-25,2024-08,Idaho Falls,Idaho,United States,232.59,PayPal,Google Search,New Customer,Friday,13:00
Sarah Jones,matthewedwards@example.net,Product,2024-11-25,2024-11,Kansas City,Missouri,United States,627.61,PayPal,Email Campaign,New Customer,Wednesday,12:00
Matthew Nelson,xnorman@example.net,Real Estate,2024-07-23,2024-07,Austin,Texas,United States,138.07,Credit Card,Instagram,Returning Customer,Monday,09:30
Jennifer White,martinezjimmy@example.com,Wedding,2024-11-08,2024-11,Spokane,Washington,United States,2422.3,Apple Pay,Google Search,New Customer,Saturday,19:00
Angela Jackson,davissharon@example.com,Stock Photo License,2025-03-18,2025-03,Dallas,Texas,United States,72.4,PayPal,Google Search,Returning Customer,Tuesday,15:00
James Hubbard,garciachristine@example.org,Portrait,2024-10-25,2024-10,Tampa,Florida,United States,213.3,Credit Card,Email Campaign,Occasional Buyer,Wednesday,10:00
Ellen Wright,scott22@example.net,Event,2024-12-03,2024-12,Kansas City,Missouri,United States,513.99,Credit Card,Google Search,New Customer,Friday,12:00
Matthew Dalton,michelle78@example.com,Real Estate,2025-02-08,2025-02,Spokane,Washington,United States,488.87,Apple Pay,Email Campaign,Business Client,Thursday,13:30
Travis Ryan,owelch@example.net,Real Estate,2024-10-25,2024-10,Spokane,Washington,United States,265.74,PayPal,Referral,New Customer,Wednesday,13:30
Kimberly Stout,zfernandez@example.org,Event,2024-09-14,2024-09,Idaho Falls,Idaho,United States,882.03,Credit Card,Email Campaign,Returning Customer,Sunday,15:00
David Torres,millskatherine@example.org,Stock Photo License,2024-09-16,2024-09,Ottawa,Ontario,Canada,79.61,PayPal,Google Search,New Customer,Wednesday,15:00
Adam Weeks,xevans@example.com,Event,2024-08-11,2024-08,Victoria,British Columbia,Canada,903.29,Apple Pay,Instagram,New Customer,Friday,15:00
Rebecca Kelley,robertcastro@example.com,Wedding,2025-01-25,2025-01,Chicago,Illinois,United States,2881.25,Apple Pay,Google Search,Business Client,Friday,11:00
Maria Clayton,josehenderson@example.org,Portrait,2024-07-08,2024-07,Spokane,Washington,United States,200.09,PayPal,Facebook,New Customer,Thursday,16:30
Lisa Benson,justin84@example.com,Wedding,2024-10-14,2024-10,Edmonton,Alberta,Canada,1580.23,Credit Card,Referral,Returning Customer,Saturday,17:00
Chad Rodriguez,rwilliamson@example.net,Wedding,2024-06-15,2024-06,Boise,Idaho,United States,2149.96,PayPal,Email Campaign,Returning Customer,Friday,17:00
Alec Williams,lopezcurtis@example.com,Product,2024-11-21,2024-11,Spokane,Washington,United States,769.44,Apple Pay,Referral,Occasional Buyer,Friday,14:00
Adam Davis,snydermatthew@example.com,Event,2024-05-23,2024-05,Austin,Texas,United States,575.47,Apple Pay,Email Campaign,New Customer,Saturday,15:00
Mr. Michael Johnson Jr.,brianrowe@example.org,Event,2025-01-20,2025-01,Springfield,Illinois,United States,528.41,Credit Card,Email Campaign,Occasional Buyer,Friday,12:00
Steven Wright,hclayton@example.net,Wedding,2024-10-23,2024-10,Cambridge,Massachusetts,United States,2037.96,Apple Pay,Referral,New Customer,Saturday,14:00
Jessica Rojas,gonzalezjill@example.org,Wedding,2024-07-08,2024-07,Little Rock,Arkansas,United States,1418.73,Credit Card,Referral,Occasional Buyer,Saturday,19:00
Mrs. Melanie Collins,eric08@example.net,Stock Photo License,2024-10-15,2024-10,Little Rock,Arkansas,United States,43.22,Apple Pay,Direct Visit,Occasional Buyer,Friday,11:00
Mr. Isaac Williams,teresayoung@example.com,Real Estate,2024-05-22,2024-05,New York City,New York,United States,128.94,Credit Card,Google Search,New Customer,Tuesday,09:30
Donald Wilson,albertwilliams@example.net,Portrait,2024-08-04,2024-08,Spokane,Washington,United States,193.6,Cash,Google Search,New Customer,Monday,18:30
Jacqueline Davis,vincentparks@example.com,Portrait,2024-09-28,2024-09,Chicago,Illinois,United States,349.21,PayPal,Direct Visit,New Customer,Wednesday,10:00
Lori Brown DDS,martinezjesse@example.net,Product,2025-03-14,2025-03,Tampa,Florida,United States,553.78,Bank Transfer,Referral,Business Client,Monday,12:00
Renee Gonzales,andrewgray@example.net,Wedding,2025-01-21,2025-01,Halifax,Nova Scotia,Canada,1669.4,Credit Card,Google Search,New Customer,Friday,17:00
Karina Kim,amy73@example.net,Real Estate,2024-05-27,2024-05,San Francisco,California,United States,362.57,Bank Transfer,Facebook,Occasional Buyer,Tuesday,09:30
Nicholas Hill,caseymoore@example.com,Portrait,2024-06-15,2024-06,Halifax,Nova Scotia,Canada,143.34,Cash,Referral,Occasional Buyer,Monday,10:00
Jordan Parsons,bgross@example.net,Wedding,2025-02-01,2025-02,Cambridge,Massachusetts,United States,1823.47,Bank Transfer,Google Search,Business Client,Saturday,17:00
Cynthia Le,rlee@example.com,Wedding,2025-02-15,2025-02,Orlando,Florida,United States,2170.53,Apple Pay,Direct Visit,New Customer,Saturday,19:00
Douglas Ortiz,daniel81@example.org,Event,2025-01-13,2025-01,San Diego,California,United States,756.67,Cash,Direct Visit,New Customer,Friday,15:00
Shane Harris,clee@example.net,Wedding,2025-02-07,2025-02,Cambridge,Massachusetts,United States,2892.48,Apple Pay,Referral,Returning Customer,Friday,14:00
John Hanson,brandon39@example.net,Portrait,2024-11-28,2024-11,Little Rock,Arkansas,United States,338.94,Bank Transfer,Google Search,New Customer,Thursday,10:00
Christine Henry,mcdonalddanielle@example.com,Portrait,2024-05-03,2024-05,Dallas,Texas,United States,169.38,Credit Card,Email Campaign,Returning Customer,Thursday,18:30
Jennifer Wood,colonjoseph@example.org,Portrait,2024-10-29,2024-10,New York City,New York,United States,390.47,Apple Pay,Direct Visit,Returning Customer,Wednesday,18:30
Angela Lewis,garciajerry@example.com,Portrait,2025-01-01,2025-01,Montreal,Quebec,Canada,169.66,PayPal,Google Search,Business Client,Monday,16:30
Danielle Garrett,angelagrant@example.net,Stock Photo License,2024-06-16,2024-06,Idaho Falls,Idaho,United States,26.26,Bank Transfer,Email Campaign,New Customer,Thursday,15:00
Heather Ellis,kandrade@example.org,Portrait,2024-05-16,2024-05,Spokane,Washington,United States,235.46,Apple Pay,Email Campaign,Business Client,Monday,10:00
Mary Ferguson,umahoney@example.net,Wedding,2024-10-26,2024-10,Dallas,Texas,United States,2569.16,Cash,Facebook,New Customer,Saturday,14:00
Jacob Duran,umckenzie@example.net,Portrait,2025-04-05,2025-04,Spokane,Washington,United States,202.33,Bank Transfer,Facebook,Occasional Buyer,Monday,16:30
Jaime Pierce,michael77@example.com,Event,2024-07-05,2024-07,Idaho Falls,Idaho,United States,540.23,Cash,Direct Visit,New Customer,Thursday,15:00
Duane Smith,victoriaturner@example.com,Real Estate,2024-04-08,2024-04,Vancouver,British Columbia,Canada,340.3,Apple Pay,Google Search,Occasional Buyer,Monday,13:30
Ethan Ingram,samantha88@example.net,Product,2025-04-03,2025-04,Boston,Massachusetts,United States,886.91,Credit Card,Referral,New Customer,Thursday,12:00
Andrew Kelly,josephpreston@example.org,Stock Photo License,2025-03-12,2025-03,Edmonton,Alberta,Canada,50.15,Bank Transfer,Email Campaign,Business Client,Friday,17:00
Anna Ross,jessicacummings@example.com,Portrait,2024-07-02,2024-07,Los Angeles,California,United States,375.59,PayPal,Email Campaign,New Customer,Friday,13:00
Melissa Johnston,larsonkevin@example.net,Stock Photo License,2024-06-10,2024-06,New York City,New York,United States,34.34,Credit Card,Referral,New Customer,Friday,15:00
Richard Weeks,michael66@example.org,Wedding,2025-01-28,2025-01,Halifax,Nova Scotia,Canada,2007.31,Cash,Google Search,Occasional Buyer,Sunday,14:00
Matthew Guzman,walterscrystal@example.org,Portrait,2025-02-20,2025-02,St. Louis,Missouri,United States,286.35,PayPal,Referral,New Customer,Monday,16:30
Joshua Hernandez,ericnunez@example.com,Wedding,2024-07-28,2024-07,Miami,Florida,United States,1606.32,Credit Card,Google Search,Occasional Buyer,Saturday,17:00
Laura Davis,zroberts@example.org,Event,2025-03-29,2025-03,Albany,New York,United States,697.24,Bank Transfer,Instagram,Business Client,Saturday,19:00
Kenneth Williams,zbaker@example.net,Portrait,2024-05-26,2024-05,Little Rock,Arkansas,United States,245.51,Bank Transfer,Instagram,Returning Customer,Tuesday,18:30
Pamela Castillo,tonypearson@example.org,Portrait,2024-09-14,2024-09,Seattle,Washington,United States,399.82,Cash,Instagram,Business Client,Friday,13:00
Kelly Allen MD,kmorris@example.org,Product,2024-10-30,2024-10,Toronto,Ontario,Canada,762.25,Bank Transfer,Facebook,New Customer,Monday,10:00
Jacob Lee,brittney04@example.org,Wedding,2024-05-19,2024-05,Idaho Falls,Idaho,United States,1508.55,PayPal,Email Campaign,New Customer,Saturday,17:00
Wanda Ramos,scottglass@example.org,Product,2025-04-04,2025-04,Orlando,Florida,United States,290.83,Cash,Facebook,Occasional Buyer,Friday,10:00
Peter Farrell,singhjohn@example.net,Wedding,2024-06-20,2024-06,Cambridge,Massachusetts,United States,2786.32,Bank Transfer,Direct Visit,Returning Customer,Sunday,17:00
Samantha Smith,torresthomas@example.com,Real Estate,2025-03-13,2025-03,Dallas,Texas,United States,291.31,PayPal,Direct Visit,New Customer,Wednesday,11:00
Christina Mills,ana92@example.net,Product,2024-06-23,2024-06,Spokane,Washington,United States,747.37,Cash,Direct Visit,New Customer,Thursday,12:00
Kevin Alvarado,scottbrian@example.org,Wedding,2024-12-19,2024-12,Boston,Massachusetts,United States,2128.99,Apple Pay,Facebook,Occasional Buyer,Friday,11:00
Amy Pena,jonesdonna@example.net,Event,2025-01-21,2025-01,San Francisco,California,United States,694.24,Apple Pay,Google Search,Business Client,Thursday,19:00
Sharon Smith,yhall@example.net,Portrait,2025-02-13,2025-02,New York City,New York,United States,332.26,Apple Pay,Email Campaign,New Customer,Thursday,10:00
Ethan Delacruz,lopezvincent@example.com,Event,2025-03-31,2025-03,Springfield,Illinois,United States,348.59,Credit Card,Referral,Business Client,Friday,12:00
Amanda Nielsen,matthew62@example.org,Real Estate,2024-10-30,2024-10,Orlando,Florida,United States,566.08,PayPal,Google Search,Business Client,Monday,13:30
Mario Young,lisa46@example.org,Product,2024-08-12,2024-08,Dallas,Texas,United States,670.96,Credit Card,Google Search,New Customer,Friday,12:00
Courtney Peterson,fsandoval@example.net,Portrait,2025-03-19,2025-03,Los Angeles,California,United States,281.18,Apple Pay,Facebook,New Customer,Tuesday,16:30
Lisa Garrett,robertberry@example.com,Portrait,2024-08-25,2024-08,Calgary,Alberta,Canada,160.96,Cash,Email Campaign,New Customer,Thursday,10:00
Erin Daniels,denisecarpenter@example.net,Product,2025-03-29,2025-03,Little Rock,Arkansas,United States,531.23,Bank Transfer,Email Campaign,New Customer,Friday,14:00
Ellen Thornton,russellstout@example.org,Wedding,2025-01-25,2025-01,New York City,New York,United States,2506.81,Bank Transfer,Email Campaign,New Customer,Sunday,14:00
Brooke Jones,whitemary@example.org,Wedding,2024-12-04,2024-12,Little Rock,Arkansas,United States,1718.96,Cash,Google Search,Returning Customer,Sunday,14:00
Sheryl Gutierrez,vturner@example.net,Wedding,2024-12-30,2024-12,Chicago,Illinois,United States,1949.84,PayPal,Email Campaign,New Customer,Saturday,11:00
Richard Rodriguez,anthonyodom@example.net,Portrait,2025-03-15,2025-03,Austin,Texas,United States,339.99,Apple Pay,Facebook,New Customer,Tuesday,16:30
Crystal Hall,howardhailey@example.com,Wedding,2024-07-14,2024-07,New York City,New York,United States,3534.76,Credit Card,Referral,Returning Customer,Saturday,11:00
Julie Banks,melissahenry@example.org,Wedding,2024-05-27,2024-05,Fredericton,New Brunswick,Canada,1768.25,Credit Card,Email Campaign,Business Client,Saturday,17:00
Jason Novak,stephanie33@example.org,Event,2024-06-06,2024-06,Halifax,Nova Scotia,Canada,350.86,PayPal,Direct Visit,Business Client,Friday,19:00
Victoria Camacho,dwatts@example.org,Wedding,2024-05-02,2024-05,St. Louis,Missouri,United States,1775.61,Bank Transfer,Facebook,New Customer,Saturday,14:00
Lisa Holloway,phillip99@example.net,Wedding,2024-09-11,2024-09,St. Louis,Missouri,United States,1545.95,PayPal,Referral,New Customer,Saturday,17:00
Rachel Meyer,cbryant@example.org,Wedding,2024-10-17,2024-10,Idaho Falls,Idaho,United States,1352.96,PayPal,Instagram,New Customer,Saturday,14:00
Nicholas Grant,leescott@example.com,Event,2024-10-14,2024-10,Toronto,Ontario,Canada,394.5,Cash,Email Campaign,New Customer,Thursday,19:00
Christopher Phillips,vaughnrebecca@example.com,Portrait,2025-01-16,2025-01,Idaho Falls,Idaho,United States,179.13,Credit Card,Referral,New Customer,Tuesday,10:00
Nathan Wilson,phillipmorris@example.org,Product,2025-02-05,2025-02,Austin,Texas,United States,368.95,Bank Transfer,Direct Visit,Returning Customer,Wednesday,12:00
Michelle Harris,udavis@example.net,Product,2024-06-12,2024-06,Quebec City,Quebec,Canada,716.42,Apple Pay,Email Campaign,Returning Customer,Monday,10:00
Carly Quinn,wilsonshannon@example.com,Wedding,2024-12-01,2024-12,Dallas,Texas,United States,2929.88,Credit Card,Email Campaign,New Customer,Saturday,14:00
Monica Hester,nicholasjames@example.org,Wedding,2024-05-09,2024-05,Boise,Idaho,United States,1863.98,Apple Pay,Instagram,New Customer,Saturday,11:00
Mary Hernandez,haroldjoseph@example.com,Real Estate,2025-03-07,2025-03,Buffalo,New York,United States,255.38,PayPal,Instagram,New Customer,Friday,09:30
Tonya Roberts,davidanderson@example.org,Wedding,2024-07-29,2024-07,Toronto,Ontario,Canada,3432.43,Apple Pay,Direct Visit,Occasional Buyer,Saturday,11:00
Alexandria Jimenez,astephens@example.net,Portrait,2024-04-09,2024-04,St. Louis,Missouri,United States,291.72,PayPal,Direct Visit,New Customer,Friday,18:30
Kevin Alvarez,mramos@example.net,Event,2025-02-25,2025-02,Albany,New York,United States,697.98,Cash,Instagram,Business Client,Sunday,19:00
Diana Fuller,brandonhernandez@example.net,Event,2024-04-10,2024-04,Boise,Idaho,United States,829.06,Cash,Direct Visit,Business Client,Saturday,12:00
Andrew Lane,mark10@example.org,Portrait,2024-08-13,2024-08,Miami,Florida,United States,243.86,PayPal,Direct Visit,New Customer,Tuesday,18:30
Michael Carr,tammycurry@example.com,Event,2024-09-07,2024-09,Calgary,Alberta,Canada,1195.89,Cash,Instagram,New Customer,Friday,12:00
Edwin Richardson,wwilkins@example.com,Wedding,2025-03-14,2025-03,Tampa,Florida,United States,1691.19,PayPal,Email Campaign,Occasional Buyer,Sunday,14:00
John Martinez,mark68@example.org,Wedding,2025-02-10,2025-02,Buffalo,New York,United States,3577.32,Apple Pay,Email Campaign,New Customer,Saturday,14:00
Ashley Blair,webbhaley@example.net,Event,2024-12-18,2024-12,St. Louis,Missouri,United States,769.94,Credit Card,Email Campaign,New Customer,Thursday,12:00
Emily Fox,sara99@example.com,Product,2024-07-22,2024-07,Houston,Texas,United States,278.35,Bank Transfer,Instagram,Returning Customer,Thursday,12:00
Katherine White,jeanettekrause@example.org,Wedding,2024-10-15,2024-10,St. Louis,Missouri,United States,2265.48,Cash,Facebook,Business Client,Saturday,11:00
Robert Mclaughlin,laurenduarte@example.com,Wedding,2024-05-21,2024-05,Boston,Massachusetts,United States,3571.85,Cash,Referral,New Customer,Saturday,14:00
Robert Lewis,hannahking@example.org,Event,2024-04-24,2024-04,Little Rock,Arkansas,United States,426.55,Credit Card,Email Campaign,New Customer,Thursday,19:00
Erica Smith,matthew99@example.org,Portrait,2024-07-29,2024-07,Boston,Massachusetts,United States,293.44,PayPal,Direct Visit,Business Client,Friday,10:00
Roy Nielsen,zhendricks@example.org,Wedding,2025-02-06,2025-02,New York City,New York,United States,3315.86,Credit Card,Direct Visit,New Customer,Friday,17:00
Mr. Steven Herrera,steven60@example.net,Real Estate,2024-11-30,2024-11,Little Rock,Arkansas,United States,171.28,Cash,Google Search,Returning Customer,Monday,11:00
Emily Herrera,barbararivera@example.com,Stock Photo License,2024-07-26,2024-07,Idaho Falls,Idaho,United States,39.0,Credit Card,Referral,New Customer,Thursday,15:00
Ryan Morgan,ksims@example.net,Event,2024-05-02,2024-05,Houston,Texas,United States,1023.76,Credit Card,Facebook,Returning Customer,Saturday,15:00
Bruce Patton,janet50@example.com,Portrait,2024-11-15,2024-11,Fredericton,New Brunswick,Canada,135.18,PayPal,Email Campaign,New Customer,Thursday,18:30
David Hayes DVM,aliciathompson@example.com,Event,2024-09-06,2024-09,Winnipeg,Manitoba,Canada,518.0,Apple Pay,Referral,New Customer,Saturday,19:00
Susan Wallace,lloydrebecca@example.org,Wedding,2025-01-20,2025-01,Dallas,Texas,United States,2823.1,PayPal,Facebook,New Customer,Saturday,17:00
Morgan Mills,douglas18@example.net,Portrait,2024-06-16,2024-06,Austin,Texas,United States,313.64,PayPal,Google Search,Returning Customer,Wednesday,16:30
Andrew Hughes,smithsarah@example.net,Portrait,2025-04-06,2025-04,Winnipeg,Manitoba,Canada,232.26,Apple Pay,Referral,New Customer,Friday,10:00
Felicia Small,meyerdonna@example.com,Event,2025-02-12,2025-02,Chicago,Illinois,United States,813.8,PayPal,Instagram,Returning Customer,Sunday,15:00
Margaret Clark,jameshill@example.com,Product,2024-04-16,2024-04,Victoria,British Columbia,Canada,941.35,Credit Card,Facebook,Returning Customer,Tuesday,12:00
Denise Moore,smithcindy@example.net,Product,2025-01-15,2025-01,Chicago,Illinois,United States,220.84,Credit Card,Email Campaign,Business Client,Tuesday,10:00
Kirsten Nelson,audrey21@example.com,Portrait,2024-05-15,2024-05,Halifax,Nova Scotia,Canada,206.95,Cash,Email Campaign,New Customer,Wednesday,16:30
Jeremy Anderson,dberger@example.org,Portrait,2024-11-18,2024-11,Springfield,Illinois,United States,263.38,Bank Transfer,Instagram,New Customer,Friday,16:30
James Bush,tjensen@example.com,Stock Photo License,2024-08-26,2024-08,Kansas City,Missouri,United States,32.76,Apple Pay,Direct Visit,New Customer,Thursday,17:00
Megan Ferguson,fbradley@example.net,Product,2025-02-01,2025-02,Montreal,Quebec,Canada,275.88,Bank Transfer,Facebook,New Customer,Tuesday,12:00
Michael Mckinney,oruiz@example.org,Portrait,2024-09-26,2024-09,San Diego,California,United States,431.63,Apple Pay,Google Search,Business Client,Friday,16:30
Susan Myers,kristina57@example.com,Portrait,2025-02-17,2025-02,Boston,Massachusetts,United States,461.99,Cash,Facebook,Business Client,Friday,18:30
Gregory Murray,justinbailey@example.net,Portrait,2024-04-19,2024-04,Miami,Florida,United States,395.21,Bank Transfer,Email Campaign,Returning Customer,Tuesday,13:00
Robert Robles,angela14@example.net,Wedding,2024-05-24,2024-05,Dallas,Texas,United States,2720.46,Apple Pay,Direct Visit,New Customer,Saturday,17:00
Cynthia Sanchez,terrireyes@example.com,Real Estate,2024-09-23,2024-09,Victoria,British Columbia,Canada,300.6,PayPal,Email Campaign,Business Client,Wednesday,11:00
Jessica Baird,amy32@example.net,Event,2024-06-23,2024-06,Boston,Massachusetts,United States,854.53,Credit Card,Google Search,Returning Customer,Thursday,19:00
Michelle Copeland,vargassteven@example.net,Product,2024-12-09,2024-12,Buffalo,New York,United States,831.8,Credit Card,Google Search,New Customer,Tuesday,10:00
Eric Sullivan,jenningscandace@example.com,Wedding,2024-05-13,2024-05,Albany,New York,United States,2081.56,PayPal,Referral,Business Client,Saturday,17:00
Amy Robinson,paigeberger@example.net,Wedding,2024-08-05,2024-08,Spokane,Washington,United States,3024.49,Credit Card,Google Search,New Customer,Friday,19:00
Mary Chavez,peter97@example.org,Product,2025-01-29,2025-01,Austin,Texas,United States,606.02,Bank Transfer,Email Campaign,Business Client,Friday,12:00
Elizabeth Bauer,samantha65@example.org,Portrait,2024-06-22,2024-06,Spokane,Washington,United States,353.2,Cash,Instagram,New Customer,Thursday,16:30
Kayla Abbott,bryan80@example.org,Event,2024-11-07,2024-11,Chicago,Illinois,United States,341.98,Cash,Direct Visit,New Customer,Saturday,12:00
Heather Callahan,youngjacqueline@example.com,Event,2024-12-21,2024-12,Edmonton,Alberta,Canada,892.46,Credit Card,Instagram,New Customer,Thursday,12:00
Jennifer Graham,elainewells@example.org,Portrait,2024-11-22,2024-11,Houston,Texas,United States,229.95,Cash,Google Search,Returning Customer,Tuesday,10:00
Heather Butler,whitney22@example.org,Real Estate,2024-10-28,2024-10,Little Rock,Arkansas,United States,177.49,Credit Card,Referral,Occasional Buyer,Thursday,13:30
Nathan Tucker,iproctor@example.org,Wedding,2024-05-04,2024-05,Vancouver,British Columbia,Canada,2920.38,Apple Pay,Referral,New Customer,Saturday,14:00
Shannon English,dhanson@example.net,Event,2024-05-28,2024-05,Little Rock,Arkansas,United States,737.84,Bank Transfer,Instagram,Business Client,Sunday,12:00
Janice Perez,kjacobs@example.com,Product,2024-09-10,2024-09,Calgary,Alberta,Canada,289.02,Cash,Instagram,Returning Customer,Tuesday,14:00
Jonathan Jenkins,arthur09@example.com,Wedding,2025-02-11,2025-02,Boise,Idaho,United States,1738.58,Bank Transfer,Instagram,New Customer,Saturday,14:00
John Vaughn,jessicafox@example.com,Portrait,2024-12-21,2024-12,Albany,New York,United States,190.43,Credit Card,Direct Visit,Occasional Buyer,Thursday,10:00
Steve Davis,qmccoy@example.net,Event,2024-09-25,2024-09,Dallas,Texas,United States,1009.12,PayPal,Instagram,New Customer,Thursday,19:00
Rebecca Edwards,bergeramanda@example.org,Wedding,2024-05-06,2024-05,Seattle,Washington,United States,1979.6,Apple Pay,Email Campaign,Returning Customer,Saturday,14:00
Julie Gross,zgomez@example.com,Stock Photo License,2024-09-26,2024-09,Winnipeg,Manitoba,Canada,42.2,Bank Transfer,Direct Visit,Business Client,Thursday,17:00
Thomas Curry,bryan79@example.org,Portrait,2024-07-22,2024-07,Montreal,Quebec,Canada,338.44,PayPal,Instagram,Occasional Buyer,Tuesday,13:00
Dorothy Mclaughlin,mitchellchristopher@example.net,Product,2024-11-03,2024-11,Vancouver,British Columbia,Canada,606.01,Bank Transfer,Facebook,Occasional Buyer,Monday,14:00
Darlene Gilbert,michaela01@example.net,Event,2024-05-06,2024-05,Little Rock,Arkansas,United States,763.73,Bank Transfer,Referral,New Customer,Friday,12:00
Brittany Griffin,josehaynes@example.com,Wedding,2024-06-10,2024-06,Little Rock,Arkansas,United States,2111.51,Cash,Instagram,New Customer,Sunday,14:00
Amanda Riggs,caitlinunderwood@example.com,Wedding,2024-06-13,2024-06,Boise,Idaho,United States,2146.68,PayPal,Google Search,New Customer,Saturday,11:00
James Guerrero,jasonnavarro@example.com,Real Estate,2025-01-08,2025-01,Idaho Falls,Idaho,United States,362.61,Credit Card,Email Campaign,New Customer,Wednesday,09:30
Robert Williams,tross@example.com,Event,2024-04-27,2024-04,Victoria,British Columbia,Canada,909.42,Cash,Instagram,Returning Customer,Saturday,19:00
