Customer Name,Email,Photo Type,Purchase Date,Month,City,Region,Country,Price USD,Payment Method,Referral Source,Customer Segment
Nancy Gonzalez,kellythompson@example.net,Portrait,2024-08-20,2024-08,Idaho Falls,Idaho,United States,207.55,Bank Transfer,Referral,New Customer
Nancy Wilson,pattersonangela@example.org,Wedding,2024-05-05,2024-05,Toronto,Ontario,Canada,3338.12,Apple Pay,Instagram,New Customer
Abigail Owens,billmcfarland@example.net,Portrait,2024-06-05,2024-06,Austin,Texas,United States,285.07,Cash,Direct Visit,New Customer
Lisa Stanley,jtyler@example.com,Portrait,2024-04-26,2024-04,Fredericton,New Brunswick,Canada,323.5,Apple Pay,Direct Visit,Business Client
Kelly Krueger,hartmanerik@example.net,Stock Photo License,2024-05-04,2024-05,Boise,Idaho,United States,56.98,Bank Transfer,Referral,Business Client
Daniel Lewis,mark43@example.net,Wedding,2024-10-21,2024-10,Los Angeles,California,United States,2196.4,PayPal,Direct Visit,Returning Customer
Samantha Zavala MD,sean99@example.org,Real Estate,2024-10-19,2024-10,Montreal,Quebec,Canada,477.32,PayPal,Instagram,Business Client
Erica Moon,cruzamber@example.com,Product,2025-03-24,2025-03,Victoria,British Columbia,Canada,616.52,Bank Transfer,Instagram,Business Client
Patricia Robertson,stucker@example.net,Portrait,2024-04-17,2024-04,Winnipeg,Manitoba,Canada,156.44,Apple Pay,Email Campaign,Returning Customer
Tiffany Jackson,simsjason@example.net,Portrait,2024-06-17,2024-06,Seattle,Washington,United States,401.64,Credit Card,Email Campaign,New Customer
Jessica Garcia,elucas@example.net,Event,2025-01-16,2025-01,Spokane,Washington,United States,1257.66,Cash,Google Search,Occasional Buyer
Mitchell Johnson,brownlaura@example.net,Portrait,2024-12-15,2024-12,Austin,Texas,United States,355.97,Bank Transfer,Email Campaign,Returning Customer
Susan Russell,bmccoy@example.com,Portrait,2024-05-03,2024-05,Fredericton,New Brunswick,Canada,200.2,Cash,Instagram,New Customer
Kimberly May,avilabrenda@example.net,Event,2024-04-14,2024-04,Spokane,Washington,United States,1188.47,Credit Card,Facebook,New Customer
Jonathan Roberts,catherine47@example.com,Wedding,2025-02-12,2025-02,Kansas City,Missouri,United States,2475.44,Cash,Instagram,Business Client
Kara Ferguson,julierobles@example.net,Event,2024-08-30,2024-08,Houston,Texas,United States,1034.23,Cash,Google Search,New Customer
Elizabeth Eaton,susan08@example.net,Real Estate,2024-07-24,2024-07,Chicago,Illinois,United States,585.48,Bank Transfer,Facebook,New Customer
Kenneth Long,torreskaitlin@example.net,Stock Photo License,2024-05-29,2024-05,Halifax,Nova Scotia,Canada,55.07,Cash,Email Campaign,New Customer
Matthew Hunt,jackjensen@example.com,Stock Photo License,2024-08-11,2024-08,Cambridge,Massachusetts,United States,62.24,Credit Card,Facebook,Business Client
Robert Phelps,enewman@example.com,Product,2024-06-18,2024-06,Springfield,Illinois,United States,476.14,Apple Pay,Referral,Business Client
Craig Carpenter,michael31@example.com,Event,2024-12-09,2024-12,Edmonton,Alberta,Canada,567.32,Bank Transfer,Direct Visit,Returning Customer
Emily Hayes,heather29@example.net,Portrait,2024-11-20,2024-11,Winnipeg,Manitoba,Canada,176.01,PayPal,Email Campaign,New Customer
Jeffrey Smith,kristenjoseph@example.net,Wedding,2024-08-19,2024-08,Winnipeg,Manitoba,Canada,2042.92,Bank Transfer,Direct Visit,New Customer
Brandy Quinn,wford@example.com,Event,2024-09-14,2024-09,Los Angeles,California,United States,817.1,PayPal,Instagram,Returning Customer
Matthew Miller,michele28@example.org,Stock Photo License,2024-10-03,2024-10,Kansas City,Missouri,United States,39.18,Credit Card,Referral,New Customer
Angela Jones,atkinsoncrystal@example.net,Wedding,2024-07-13,2024-07,Little Rock,Arkansas,United States,1383.55,Credit Card,Instagram,Business Client
Christy Johnson,amy87@example.net,Event,2024-11-05,2024-11,Boise,Idaho,United States,439.61,Apple Pay,Referral,New Customer
Daniel Barton,dennis88@example.org,Wedding,2025-01-16,2025-01,Vancouver,British Columbia,Canada,2563.74,Apple Pay,Google Search,New Customer
Mary Charles,katherinetaylor@example.org,Wedding,2024-08-31,2024-08,Fredericton,New Brunswick,Canada,2133.92,Credit Card,Facebook,Business Client
Mary Faulkner,ccrosby@example.org,Portrait,2024-06-12,2024-06,Chicago,Illinois,United States,264.6,PayPal,Email Campaign,Returning Customer
Dennis Young,aprilmoody@example.com,Wedding,2025-01-11,2025-01,Idaho Falls,Idaho,United States,1681.44,Cash,Facebook,Returning Customer
Anthony Hooper,dakota84@example.net,Event,2024-09-26,2024-09,Kansas City,Missouri,United States,699.75,Bank Transfer,Facebook,Occasional Buyer
Carrie Valdez,briana18@example.com,Stock Photo License,2024-07-13,2024-07,Kansas City,Missouri,United States,22.33,Bank Transfer,Facebook,Business Client
Kelli Gomez,tommy79@example.org,Event,2024-08-23,2024-08,Boston,Massachusetts,United States,1042.07,Cash,Google Search,New Customer
Christopher Jones,jason22@example.com,Event,2024-10-08,2024-10,Chicago,Illinois,United States,861.84,PayPal,Email Campaign,New Customer
Mary Perry,jennifer77@example.com,Real Estate,2024-11-14,2024-11,St. Louis,Missouri,United States,111.22,Cash,Email Campaign,Business Client
Roy Johnson,andersonbrittany@example.org,Real Estate,2024-06-24,2024-06,Boise,Idaho,United States,116.58,Bank Transfer,Google Search,Business Client
Kenneth Brown,sandra86@example.net,Wedding,2024-11-24,2024-11,Houston,Texas,United States,2861.52,Cash,Facebook,Business Client
Sherry Luna,stacey37@example.net,Wedding,2025-03-28,2025-03,Los Angeles,California,United States,3252.3,PayPal,Referral,Returning Customer
Carolyn Greer,laurahoover@example.org,Wedding,2025-04-06,2025-04,Edmonton,Alberta,Canada,2269.34,Apple Pay,Instagram,New Customer
Carol Jennings,ecarlson@example.org,Wedding,2024-11-22,2024-11,St. Louis,Missouri,United States,2469.92,PayPal,Email Campaign,Occasional Buyer
Alan Mills,mserrano@example.org,Event,2024-08-24,2024-08,Calgary,Alberta,Canada,455.59,PayPal,Referral,New Customer
Linda Rich,davisdonna@example.net,Wedding,2024-06-11,2024-06,San Diego,California,United States,2116.85,Credit Card,Direct Visit,Occasional Buyer
Todd Gregory,xboyd@example.org,Portrait,2024-10-22,2024-10,Dallas,Texas,United States,229.25,Apple Pay,Google Search,Business Client
Todd Olson,zbell@example.net,Wedding,2024-12-19,2024-12,Spokane,Washington,United States,3240.86,PayPal,Instagram,New Customer
Laura Coleman,thomas31@example.com,Product,2025-03-06,2025-03,Albany,New York,United States,302.62,Credit Card,Instagram,Business Client
Deanna Smith,lanedavid@example.org,Real Estate,2024-11-12,2024-11,Orlando,Florida,United States,455.03,Cash,Google Search,New Customer
Robert Ortiz,mooredenise@example.com,Event,2024-08-23,2024-08,Little Rock,Arkansas,United States,937.75,Cash,Direct Visit,New Customer
Krystal Carr,afischer@example.net,Real Estate,2024-07-12,2024-07,Orlando,Florida,United States,157.99,Credit Card,Instagram,New Customer
Mr. Justin King,becky62@example.net,Event,2025-01-19,2025-01,Albany,New York,United States,902.7,PayPal,Google Search,New Customer
Richard Avery,lewisrichard@example.com,Wedding,2024-05-21,2024-05,Chicago,Illinois,United States,2288.46,Apple Pay,Google Search,Returning Customer
Melinda Williams,aoconnell@example.org,Portrait,2025-01-26,2025-01,Albany,New York,United States,303.65,Bank Transfer,Instagram,New Customer
Kyle Davis,jeffrey19@example.org,Portrait,2025-02-03,2025-02,Toronto,Ontario,Canada,201.04,PayPal,Instagram,New Customer
Jennifer Douglas,jennifer90@example.org,Wedding,2024-12-29,2024-12,Winnipeg,Manitoba,Canada,2497.85,PayPal,Referral,Business Client
Dakota Sandoval,james98@example.net,Stock Photo License,2024-11-28,2024-11,Seattle,Washington,United States,88.43,Credit Card,Referral,New Customer
Megan Ward,cantrellchristopher@example.com,Event,2024-12-19,2024-12,Vancouver,British Columbia,Canada,1318.88,Cash,Facebook,New Customer
James Willis,mclaughlincasey@example.org,Wedding,2025-01-18,2025-01,Toronto,Ontario,Canada,2170.7,PayPal,Google Search,Business Client
Kristin Aguilar,sylvia43@example.net,Event,2024-10-26,2024-10,Edmonton,Alberta,Canada,686.87,Cash,Google Search,New Customer
Jared Smith,richardrodriguez@example.org,Wedding,2025-03-26,2025-03,Cambridge,Massachusetts,United States,3088.01,Cash,Facebook,Business Client
Bruce Palmer,nancy94@example.net,Wedding,2024-10-09,2024-10,Seattle,Washington,United States,3285.91,PayPal,Google Search,New Customer
John Sanchez,susan77@example.net,Stock Photo License,2024-09-17,2024-09,Winnipeg,Manitoba,Canada,42.66,Credit Card,Google Search,Returning Customer
Mr. James Kramer,ericahall@example.com,Portrait,2025-02-17,2025-02,Winnipeg,Manitoba,Canada,316.37,Cash,Google Search,Occasional Buyer
Joseph Haynes,john16@example.net,Product,2024-09-05,2024-09,Halifax,Nova Scotia,Canada,274.94,Cash,Referral,Business Client
Justin White,michael94@example.org,Portrait,2025-01-07,2025-01,Kansas City,Missouri,United States,254.41,Cash,Referral,Returning Customer
Susan Porter,jimmyallen@example.com,Wedding,2025-03-20,2025-03,Houston,Texas,United States,2191.82,Credit Card,Referral,New Customer
David Montgomery,kimberlywilson@example.org,Real Estate,2024-06-22,2024-06,Boise,Idaho,United States,331.5,Credit Card,Facebook,Returning Customer
Lisa Duran,charlesnathan@example.com,Wedding,2024-12-11,2024-12,Miami,Florida,United States,1947.37,Credit Card,Referral,New Customer
Dr. Sheila Henry,raymond92@example.org,Wedding,2024-10-05,2024-10,Spokane,Washington,United States,3052.52,Apple Pay,Direct Visit,New Customer
Todd Johnson,phillip27@example.org,Portrait,2024-10-17,2024-10,Vancouver,British Columbia,Canada,359.93,Credit Card,Direct Visit,New Customer
Michael Smith,nicolasgarcia@example.com,Event,2024-12-19,2024-12,St. Louis,Missouri,United States,676.06,Bank Transfer,Email Campaign,New Customer
Joshua Young,vmullen@example.com,Event,2024-11-18,2024-11,New York City,New York,United States,483.48,Apple Pay,Referral,Business Client
Jason Goodwin,melissa47@example.org,Real Estate,2024-06-14,2024-06,Calgary,Alberta,Canada,217.6,Cash,Direct Visit,Returning Customer
Melissa Olsen,linda86@example.com,Portrait,2024-11-03,2024-11,Seattle,Washington,United States,348.78,PayPal,Instagram,Occasional Buyer
Nancy Kennedy,thompsonvictor@example.net,Event,2024-06-18,2024-06,San Francisco,California,United States,804.1,Cash,Facebook,Returning Customer
Rachel Evans,rosshannah@example.org,Event,2024-10-14,2024-10,Springfield,Illinois,United States,1149.36,Bank Transfer,Google Search,New Customer
Ryan Davis,jordan58@example.net,Wedding,2024-06-25,2024-06,New York City,New York,United States,2210.38,Cash,Facebook,New Customer
Alejandro Martinez,barbarasantos@example.net,Portrait,2025-03-15,2025-03,Spokane,Washington,United States,216.55,Bank Transfer,Direct Visit,New Customer
Heather Nunez,champton@example.org,Real Estate,2024-06-10,2024-06,Albany,New York,United States,271.84,Credit Card,Facebook,New Customer
Mark Thomas,daniellemcfarland@example.com,Event,2024-08-25,2024-08,Chicago,Illinois,United States,1102.47,Credit Card,Referral,Returning Customer
Sarah Jones,matthewedwards@example.net,Product,2024-11-25,2024-11,Springfield,Illinois,United States,715.85,Cash,Google Search,New Customer
Matthew Nelson,xnorman@example.net,Real Estate,2024-07-23,2024-07,Boston,Massachusetts,United States,325.02,Bank Transfer,Referral,Occasional Buyer
Jennifer White,martinezjimmy@example.com,Portrait,2024-11-08,2024-11,Victoria,British Columbia,Canada,254.04,Apple Pay,Facebook,Occasional Buyer
Angela Jackson,davissharon@example.com,Portrait,2025-03-18,2025-03,Fredericton,New Brunswick,Canada,146.52,Bank Transfer,Google Search,New Customer
James Hubbard,garciachristine@example.org,Event,2024-10-25,2024-10,Winnipeg,Manitoba,Canada,495.79,Bank Transfer,Direct Visit,New Customer
Ellen Wright,scott22@example.net,Wedding,2024-12-03,2024-12,Boston,Massachusetts,United States,3586.45,Credit Card,Google Search,Returning Customer
Matthew Dalton,michelle78@example.com,Portrait,2025-02-08,2025-02,Houston,Texas,United States,187.46,PayPal,Direct Visit,New Customer
Travis Ryan,owelch@example.net,Event,2024-10-25,2024-10,Chicago,Illinois,United States,886.47,Cash,Email Campaign,Business Client
Kimberly Stout,zfernandez@example.org,Portrait,2024-09-14,2024-09,Boise,Idaho,United States,267.35,Credit Card,Direct Visit,New Customer
David Torres,millskatherine@example.org,Stock Photo License,2024-09-16,2024-09,Seattle,Washington,United States,65.12,Bank Transfer,Google Search,Business Client
Adam Weeks,xevans@example.com,Event,2024-08-11,2024-08,Buffalo,New York,United States,1339.44,Credit Card,Direct Visit,New Customer
Rebecca Kelley,robertcastro@example.com,Wedding,2025-01-25,2025-01,Chicago,Illinois,United States,2724.37,Bank Transfer,Direct Visit,New Customer
Maria Clayton,josehenderson@example.org,Wedding,2024-07-08,2024-07,Quebec City,Quebec,Canada,2536.54,PayPal,Referral,Occasional Buyer
Lisa Benson,justin84@example.com,Product,2024-10-14,2024-10,Little Rock,Arkansas,United States,233.3,PayPal,Direct Visit,Occasional Buyer
Chad Rodriguez,rwilliamson@example.net,Portrait,2024-06-15,2024-06,Little Rock,Arkansas,United States,197.48,PayPal,Google Search,Occasional Buyer
Alec Williams,lopezcurtis@example.com,Real Estate,2024-11-21,2024-11,Quebec City,Quebec,Canada,165.22,Bank Transfer,Instagram,Returning Customer
Adam Davis,snydermatthew@example.com,Stock Photo License,2024-05-23,2024-05,Ottawa,Ontario,Canada,74.54,Credit Card,Email Campaign,Occasional Buyer
Mr. Michael Johnson Jr.,brianrowe@example.org,Event,2025-01-20,2025-01,Springfield,Illinois,United States,1004.84,Bank Transfer,Direct Visit,New Customer
Steven Wright,hclayton@example.net,Event,2024-10-23,2024-10,Buffalo,New York,United States,954.86,PayPal,Referral,New Customer
Jessica Rojas,gonzalezjill@example.org,Event,2024-07-08,2024-07,Little Rock,Arkansas,United States,780.44,Credit Card,Google Search,New Customer
Mrs. Melanie Collins,eric08@example.net,Wedding,2024-10-15,2024-10,Boise,Idaho,United States,2182.93,Bank Transfer,Email Campaign,Returning Customer
Mr. Isaac Williams,teresayoung@example.com,Event,2024-05-22,2024-05,Albany,New York,United States,404.23,Bank Transfer,Direct Visit,New Customer
Donald Wilson,albertwilliams@example.net,Event,2024-08-04,2024-08,Chicago,Illinois,United States,1101.92,PayPal,Facebook,Business Client
Jacqueline Davis,vincentparks@example.com,Event,2024-09-28,2024-09,Fredericton,New Brunswick,Canada,624.79,Apple Pay,Referral,Business Client
Lori Brown DDS,martinezjesse@example.net,Event,2025-03-14,2025-03,Winnipeg,Manitoba,Canada,679.42,PayPal,Google Search,Occasional Buyer
Renee Gonzales,andrewgray@example.net,Wedding,2025-01-21,2025-01,Kansas City,Missouri,United States,1856.84,Cash,Google Search,Business Client
Karina Kim,amy73@example.net,Product,2024-05-27,2024-05,Boise,Idaho,United States,541.76,Credit Card,Direct Visit,Business Client
Nicholas Hill,caseymoore@example.com,Wedding,2024-06-15,2024-06,Ottawa,Ontario,Canada,3098.76,Credit Card,Referral,Business Client
Jordan Parsons,bgross@example.net,Wedding,2025-02-01,2025-02,Boston,Massachusetts,United States,3479.45,Bank Transfer,Facebook,New Customer
Cynthia Le,rlee@example.com,Product,2025-02-15,2025-02,Albany,New York,United States,413.6,Apple Pay,Referral,New Customer
Douglas Ortiz,daniel81@example.org,Wedding,2025-01-13,2025-01,Springfield,Illinois,United States,2597.5,Apple Pay,Direct Visit,Business Client
Shane Harris,clee@example.net,Wedding,2025-02-07,2025-02,Winnipeg,Manitoba,Canada,2549.98,Cash,Facebook,Returning Customer
John Hanson,brandon39@example.net,Portrait,2024-11-28,2024-11,Winnipeg,Manitoba,Canada,139.51,Apple Pay,Direct Visit,Business Client
Christine Henry,mcdonalddanielle@example.com,Wedding,2024-05-03,2024-05,St. Louis,Missouri,United States,2462.56,PayPal,Google Search,Business Client
Jennifer Wood,colonjoseph@example.org,Event,2024-10-29,2024-10,Boise,Idaho,United States,380.02,PayPal,Referral,New Customer
Angela Lewis,garciajerry@example.com,Event,2025-01-01,2025-01,Ottawa,Ontario,Canada,804.89,Credit Card,Instagram,Returning Customer
Danielle Garrett,angelagrant@example.net,Stock Photo License,2024-06-16,2024-06,Tampa,Florida,United States,66.45,Bank Transfer,Referral,New Customer
Heather Ellis,kandrade@example.org,Stock Photo License,2024-05-16,2024-05,Boise,Idaho,United States,53.92,Credit Card,Google Search,New Customer
Mary Ferguson,umahoney@example.net,Real Estate,2024-10-26,2024-10,Montreal,Quebec,Canada,474.63,Credit Card,Referral,New Customer
Jacob Duran,umckenzie@example.net,Portrait,2025-04-05,2025-04,Boise,Idaho,United States,236.33,Cash,Email Campaign,Business Client
Jaime Pierce,michael77@example.com,Wedding,2024-07-05,2024-07,Little Rock,Arkansas,United States,1910.86,Credit Card,Direct Visit,Occasional Buyer
Duane Smith,victoriaturner@example.com,Portrait,2024-04-08,2024-04,Victoria,British Columbia,Canada,358.16,Cash,Referral,Business Client
Ethan Ingram,samantha88@example.net,Event,2025-04-03,2025-04,Boston,Massachusetts,United States,735.42,Cash,Facebook,Returning Customer
Andrew Kelly,josephpreston@example.org,Portrait,2025-03-12,2025-03,Kansas City,Missouri,United States,155.81,Cash,Referral,New Customer
Anna Ross,jessicacummings@example.com,Portrait,2024-07-02,2024-07,Little Rock,Arkansas,United States,222.44,Apple Pay,Facebook,New Customer
Melissa Johnston,larsonkevin@example.net,Wedding,2024-06-10,2024-06,Los Angeles,California,United States,2400.92,PayPal,Instagram,New Customer
Richard Weeks,michael66@example.org,Event,2025-01-28,2025-01,Dallas,Texas,United States,1179.03,Credit Card,Instagram,New Customer
Matthew Guzman,walterscrystal@example.org,Wedding,2025-02-20,2025-02,Springfield,Illinois,United States,2889.61,Cash,Instagram,New Customer
Joshua Hernandez,ericnunez@example.com,Real Estate,2024-07-28,2024-07,San Francisco,California,United States,612.01,Credit Card,Email Campaign,New Customer
Laura Davis,zroberts@example.org,Wedding,2025-03-29,2025-03,Cambridge,Massachusetts,United States,2067.28,Cash,Referral,Business Client
Kenneth Williams,zbaker@example.net,Event,2024-05-26,2024-05,Dallas,Texas,United States,480.1,Apple Pay,Direct Visit,Occasional Buyer
Pamela Castillo,tonypearson@example.org,Portrait,2024-09-14,2024-09,St. Louis,Missouri,United States,323.88,Cash,Direct Visit,Occasional Buyer
Kelly Allen MD,kmorris@example.org,Wedding,2024-10-30,2024-10,Spokane,Washington,United States,3587.23,PayPal,Instagram,Returning Customer
Jacob Lee,brittney04@example.org,Real Estate,2024-05-19,2024-05,Boston,Massachusetts,United States,582.47,PayPal,Referral,New Customer
Wanda Ramos,scottglass@example.org,Portrait,2025-04-04,2025-04,Fredericton,New Brunswick,Canada,165.05,Bank Transfer,Direct Visit,New Customer
Peter Farrell,singhjohn@example.net,Portrait,2024-06-20,2024-06,Tampa,Florida,United States,341.71,Credit Card,Google Search,Returning Customer
Samantha Smith,torresthomas@example.com,Wedding,2025-03-13,2025-03,Austin,Texas,United States,2903.41,Credit Card,Instagram,Business Client
Christina Mills,ana92@example.net,Wedding,2024-06-23,2024-06,Miami,Florida,United States,2642.49,Credit Card,Email Campaign,Returning Customer
Kevin Alvarado,scottbrian@example.org,Portrait,2024-12-19,2024-12,Halifax,Nova Scotia,Canada,205.51,Credit Card,Instagram,New Customer
Amy Pena,jonesdonna@example.net,Wedding,2025-01-21,2025-01,Boise,Idaho,United States,1554.38,Credit Card,Direct Visit,Returning Customer
Sharon Smith,yhall@example.net,Portrait,2025-02-13,2025-02,St. Louis,Missouri,United States,216.95,Cash,Direct Visit,New Customer
Ethan Delacruz,lopezvincent@example.com,Wedding,2025-03-31,2025-03,Winnipeg,Manitoba,Canada,2351.3,Bank Transfer,Facebook,New Customer
Amanda Nielsen,matthew62@example.org,Portrait,2024-10-30,2024-10,Vancouver,British Columbia,Canada,379.7,Apple Pay,Instagram,New Customer
Mario Young,lisa46@example.org,Wedding,2024-08-12,2024-08,Cambridge,Massachusetts,United States,2171.27,PayPal,Email Campaign,Business Client
Courtney Peterson,fsandoval@example.net,Portrait,2025-03-19,2025-03,Little Rock,Arkansas,United States,204.56,PayPal,Facebook,Business Client
Lisa Garrett,robertberry@example.com,Event,2024-08-25,2024-08,Boise,Idaho,United States,692.71,PayPal,Direct Visit,New Customer
Erin Daniels,denisecarpenter@example.net,Event,2025-03-29,2025-03,Montreal,Quebec,Canada,372.27,Bank Transfer,Google Search,New Customer
Ellen Thornton,russellstout@example.org,Real Estate,2025-01-25,2025-01,Idaho Falls,Idaho,United States,435.32,Cash,Facebook,Business Client
Brooke Jones,whitemary@example.org,Wedding,2024-12-04,2024-12,Winnipeg,Manitoba,Canada,1289.89,Cash,Referral,Business Client
Sheryl Gutierrez,vturner@example.net,Event,2024-12-30,2024-12,Idaho Falls,Idaho,United States,842.07,Cash,Email Campaign,New Customer
Richard Rodriguez,anthonyodom@example.net,Portrait,2025-03-15,2025-03,Quebec City,Quebec,Canada,367.71,Apple Pay,Direct Visit,Returning Customer
Crystal Hall,howardhailey@example.com,Event,2024-07-14,2024-07,Austin,Texas,United States,951.74,Credit Card,Email Campaign,New Customer
Julie Banks,melissahenry@example.org,Wedding,2024-05-27,2024-05,Dallas,Texas,United States,2204.55,PayPal,Instagram,New Customer
Jason Novak,stephanie33@example.org,Product,2024-06-06,2024-06,Boston,Massachusetts,United States,558.07,PayPal,Direct Visit,Returning Customer
Victoria Camacho,dwatts@example.org,Event,2024-05-02,2024-05,Little Rock,Arkansas,United States,956.47,Bank Transfer,Google Search,New Customer
Lisa Holloway,phillip99@example.net,Portrait,2024-09-11,2024-09,Kansas City,Missouri,United States,220.04,Bank Transfer,Instagram,New Customer
Rachel Meyer,cbryant@example.org,Wedding,2024-10-17,2024-10,Seattle,Washington,United States,2069.32,Credit Card,Google Search,Returning Customer
Nicholas Grant,leescott@example.com,Portrait,2024-10-14,2024-10,Seattle,Washington,United States,292.81,PayPal,Facebook,Business Client
Christopher Phillips,vaughnrebecca@example.com,Event,2025-01-16,2025-01,Seattle,Washington,United States,1252.98,PayPal,Email Campaign,New Customer
Nathan Wilson,phillipmorris@example.org,Event,2025-02-05,2025-02,Quebec City,Quebec,Canada,838.55,Credit Card,Referral,Returning Customer
Michelle Harris,udavis@example.net,Wedding,2024-06-12,2024-06,Albany,New York,United States,2885.77,Bank Transfer,Direct Visit,Returning Customer
Carly Quinn,wilsonshannon@example.com,Portrait,2024-12-01,2024-12,San Diego,California,United States,472.85,PayPal,Referral,New Customer
Monica Hester,nicholasjames@example.org,Event,2024-05-09,2024-05,Montreal,Quebec,Canada,762.69,Apple Pay,Facebook,Returning Customer
Mary Hernandez,haroldjoseph@example.com,Real Estate,2025-03-07,2025-03,Spokane,Washington,United States,592.14,Apple Pay,Email Campaign,New Customer
Tonya Roberts,davidanderson@example.org,Wedding,2024-07-29,2024-07,Buffalo,New York,United States,3487.88,Bank Transfer,Email Campaign,Occasional Buyer
Alexandria Jimenez,astephens@example.net,Real Estate,2024-04-09,2024-04,Springfield,Illinois,United States,507.3,Bank Transfer,Referral,New Customer
Kevin Alvarez,mramos@example.net,Product,2025-02-25,2025-02,Springfield,Illinois,United States,675.67,PayPal,Direct Visit,New Customer
Diana Fuller,brandonhernandez@example.net,Real Estate,2024-04-10,2024-04,San Diego,California,United States,655.12,Bank Transfer,Instagram,Returning Customer
Andrew Lane,mark10@example.org,Portrait,2024-08-13,2024-08,Kansas City,Missouri,United States,322.66,Credit Card,Direct Visit,New Customer
Michael Carr,tammycurry@example.com,Portrait,2024-09-07,2024-09,Springfield,Illinois,United States,298.35,Apple Pay,Direct Visit,New Customer
Edwin Richardson,wwilkins@example.com,Portrait,2025-03-14,2025-03,Orlando,Florida,United States,301.56,Cash,Direct Visit,New Customer
John Martinez,mark68@example.org,Wedding,2025-02-10,2025-02,San Francisco,California,United States,2382.07,PayPal,Instagram,New Customer
Ashley Blair,webbhaley@example.net,Wedding,2024-12-18,2024-12,Winnipeg,Manitoba,Canada,2297.82,PayPal,Facebook,Occasional Buyer
Emily Fox,sara99@example.com,Wedding,2024-07-22,2024-07,Orlando,Florida,United States,2108.55,Bank Transfer,Instagram,Occasional Buyer
Katherine White,jeanettekrause@example.org,Portrait,2024-10-15,2024-10,Albany,New York,United States,189.66,PayPal,Direct Visit,New Customer
Robert Mclaughlin,laurenduarte@example.com,Wedding,2024-05-21,2024-05,Boise,Idaho,United States,2381.42,Cash,Direct Visit,New Customer
Robert Lewis,hannahking@example.org,Wedding,2024-04-24,2024-04,Chicago,Illinois,United States,2103.54,Cash,Facebook,New Customer
Erica Smith,matthew99@example.org,Event,2024-07-29,2024-07,Little Rock,Arkansas,United States,929.23,Cash,Google Search,New Customer
Roy Nielsen,zhendricks@example.org,Stock Photo License,2025-02-06,2025-02,St. Louis,Missouri,United States,31.36,Apple Pay,Email Campaign,New Customer
Mr. Steven Herrera,steven60@example.net,Event,2024-11-30,2024-11,Kansas City,Missouri,United States,798.88,Credit Card,Email Campaign,Returning Customer
Emily Herrera,barbararivera@example.com,Wedding,2024-07-26,2024-07,San Francisco,California,United States,2738.04,PayPal,Instagram,New Customer
Ryan Morgan,ksims@example.net,Event,2024-05-02,2024-05,Idaho Falls,Idaho,United States,761.06,Credit Card,Google Search,Business Client
Bruce Patton,janet50@example.com,Real Estate,2024-11-15,2024-11,St. Louis,Missouri,United States,96.02,Apple Pay,Facebook,Business Client
David Hayes DVM,aliciathompson@example.com,Wedding,2024-09-06,2024-09,Boise,Idaho,United States,2391.87,Credit Card,Google Search,New Customer
Susan Wallace,lloydrebecca@example.org,Wedding,2025-01-20,2025-01,Kansas City,Missouri,United States,1966.02,Bank Transfer,Direct Visit,New Customer
Morgan Mills,douglas18@example.net,Wedding,2024-06-16,2024-06,Albany,New York,United States,2822.77,Apple Pay,Google Search,New Customer
Andrew Hughes,smithsarah@example.net,Product,2025-04-06,2025-04,St. Louis,Missouri,United States,341.39,Apple Pay,Google Search,Returning Customer
Felicia Small,meyerdonna@example.com,Real Estate,2025-02-12,2025-02,Little Rock,Arkansas,United States,329.96,Apple Pay,Referral,New Customer
Margaret Clark,jameshill@example.com,Portrait,2024-04-16,2024-04,Seattle,Washington,United States,340.88,Bank Transfer,Direct Visit,Occasional Buyer
Denise Moore,smithcindy@example.net,Wedding,2025-01-15,2025-01,Tampa,Florida,United States,2753.37,Apple Pay,Email Campaign,Occasional Buyer
Kirsten Nelson,audrey21@example.com,Portrait,2024-05-15,2024-05,Calgary,Alberta,Canada,377.94,Credit Card,Direct Visit,New Customer
Jeremy Anderson,dberger@example.org,Wedding,2024-11-18,2024-11,Little Rock,Arkansas,United States,1454.14,PayPal,Facebook,Returning Customer
James Bush,tjensen@example.com,Event,2024-08-26,2024-08,Houston,Texas,United States,1147.81,Bank Transfer,Google Search,Returning Customer
Megan Ferguson,fbradley@example.net,Portrait,2025-02-01,2025-02,Fredericton,New Brunswick,Canada,271.2,Cash,Referral,New Customer
Michael Mckinney,oruiz@example.org,Event,2024-09-26,2024-09,Boston,Massachusetts,United States,635.28,Credit Card,Referral,New Customer
Susan Myers,kristina57@example.com,Real Estate,2025-02-17,2025-02,Dallas,Texas,United States,470.33,Credit Card,Email Campaign,New Customer
Gregory Murray,justinbailey@example.net,Product,2024-04-19,2024-04,Cambridge,Massachusetts,United States,549.12,Cash,Email Campaign,New Customer
Robert Robles,angela14@example.net,Wedding,2024-05-24,2024-05,Idaho Falls,Idaho,United States,2095.11,Apple Pay,Google Search,Business Client
Cynthia Sanchez,terrireyes@example.com,Event,2024-09-23,2024-09,Austin,Texas,United States,1001.92,Apple Pay,Direct Visit,Occasional Buyer
Jessica Baird,amy32@example.net,Portrait,2024-06-23,2024-06,Dallas,Texas,United States,368.7,Apple Pay,Referral,Returning Customer
